Player,Pos,Tm,G,GS,MP,PTS,TRB,AST,STL,BLK,eFG%,TOV,PF
Precious Achiuwa,PF,NYK,9,2,20.4,5.2,4.2,0.6,0.4,1.3,0.488,0.4,2.2
Bam Adebayo,C,MIA,5,5,38.4,22.6,9.4,3.8,0.4,0.0,0.505,1.6,3.0
Nickeil Alexander-Walker,SG,MIN,16,1,23.6,7.3,1.8,2.3,0.6,0.4,0.473,0.9,1.5
Jarrett Allen,C,CLE,4,4,31.8,17.0,13.8,1.3,1.3,1.0,0.676,1.3,2.0
Jose Alvarado,PG,NOP,4,0,15.5,1.8,1.0,2.3,1.3,0.3,0.175,1.0,0.8
Kyle Anderson,PF,MIN,15,1,15.4,4.3,2.7,2.5,0.7,0.3,0.474,0.7,1.7
OG Anunoby,SF,NYK,9,9,36.0,15.1,6.0,1.1,0.9,1.0,0.577,1.1,1.7
Paolo Banchero,PF,ORL,7,7,37.4,27.0,8.6,4.0,1.1,0.6,0.51,4.6,2.0
Nicolas Batum,PF,PHI,6,0,28.3,6.3,5.8,1.3,0.2,0.8,0.569,0.8,2.2
Bradley Beal,SG,PHO,4,4,38.5,16.5,2.8,4.5,0.8,0.3,0.525,3.3,3.8
Malik Beasley,SG,MIL,6,2,21.8,8.8,2.5,0.7,0.7,0.0,0.646,0.5,1.5
Patrick Beverley,PG,MIL,6,6,35.0,8.2,3.3,5.5,1.0,0.7,0.462,1.0,2.7
Devin Booker,PG,PHO,4,4,41.5,27.5,3.3,6.0,1.8,0.3,0.546,2.8,4.5
Christian Braun,SG,DEN,12,0,17.0,5.1,2.7,0.8,0.2,0.4,0.463,0.1,1.5
Jaylen Brown,SF,BOS,19,19,37.2,23.9,5.9,3.3,1.2,0.6,0.569,2.7,2.7
Jalen Brunson,PG,NYK,13,13,39.8,32.4,3.3,7.5,0.8,0.2,0.482,2.7,2.0
Alec Burks,SG,NYK,6,0,20.2,14.8,3.3,1.0,0.2,0.2,0.62,0.0,1.0
Kentavious Caldwell-Pope,SG,DEN,12,12,35.0,8.1,2.9,2.6,1.4,0.4,0.5,0.8,3.1
