Player,SAW_score,SAW_rank,TOPSIS_score,TOPSIS_rank,Hellwig_score,Hellwig_rank,Pos,Tm,Srednia_ranga,Rozstep_rang,SAW_score_norm,TOPSIS_score_norm,Hellwig_score_norm,AGR_score,AGR_rank
Nikola Jokić,0.7371604035372435,1,0.734366426780205,1,0.41487156457692764,4,C,DEN,2.0,3,1.0,1.0,0.9492182351016021,0.9830727450338673,1
LeBron James,0.7270730207276962,2,0.6913863796826247,2,0.41742443050521616,3,PF,LAL,2.3333333333333335,1,0.9820853547671106,0.9260296941495089,0.9541201156050262,0.9540783881738818,2
Shai Gilgeous-Alexander,0.6606900062662141,5,0.6733457389424135,5,0.42125481049226876,2,PG,OKC,4.0,3,0.86419271838955,0.8949810610416268,0.9614750122218753,0.9068829305510173,3
Luka Dončić,0.6766202803461308,3,0.6803930712848923,4,0.31682839562349974,17,PG,DAL,8.0,14,0.8924840218914153,0.9071097896961045,0.7609608365985341,0.8535182160620179,4
Joel Embiid,0.6607845236821448,4,0.6896970130410492,3,0.31678416672086074,18,C,PHI,8.333333333333334,15,0.8643605761983293,0.9231222295092946,0.7608759105579099,0.8494529054218445,5
Anthony Davis,0.6518558788967995,6,0.6360461961767215,6,0.3602022111812141,7,C,LAL,6.333333333333333,1,0.8485037869042263,0.8307871205324961,0.8442449834412981,0.8411786302926736,6
Anthony Edwards,0.617020191354431,7,0.6174600964569641,7,0.34530280626020693,9,SG,MIN,7.666666666666667,2,0.7866374935803861,0.7987997316467453,0.8156359203151867,0.8003577151807727,7
Tyrese Haliburton,0.60054110856293,8,0.5584776754476973,12,0.383319929824524,5,PG,IND,8.333333333333334,7,0.7573715355467779,0.6972887279023237,0.8886344255367765,0.7810982296619593,8
Jayson Tatum,0.5895461273769895,11,0.6151903380176416,8,0.3273413849762936,13,PF,BOS,10.666666666666666,5,0.7378450447803137,0.794893390511701,0.7811473324775846,0.7712952559231998,9
Jarrett Allen,0.5522808160616696,14,0.48625985244969266,20,0.4413183613311372,1,C,CLE,11.666666666666666,19,0.6716638712974076,0.572999090832108,1.0,0.7482209873765051,10
James Harden,0.5757620194224231,12,0.5677702943726778,11,0.3375949689817921,11,PG,LAC,11.333333333333334,1,0.7133652160159895,0.7132816806897478,0.8008357316879849,0.742494209464574,11
Tyrese Maxey,0.5917535062064508,9,0.5867496776609591,9,0.27077963309133235,33,PG,PHI,17.0,24,0.7417652299632297,0.745945925647425,0.672540395571079,0.7200838503939112,12
Jalen Williams,0.5346453865718012,19,0.5163392467520155,19,0.35194932412784097,8,PF,OKC,15.333333333333334,11,0.6403443041901089,0.6247668795292404,0.8283982185581098,0.6978364674258196,13
Kevin Durant,0.5468434562347956,16,0.5267287720495969,17,0.33005779101427535,12,PF,PHO,15.0,5,0.6620074148962666,0.6426476501612199,0.7863632342017668,0.6970060997530845,14
Donovan Mitchell,0.5549614311936844,13,0.5545675465979322,14,0.2641492520331674,35,SG,CLE,20.666666666666668,22,0.6764244985089086,0.6905592465158726,0.6598090823911973,0.6755976091386595,15
Jalen Brunson,0.5902101500310204,10,0.5853724467872808,10,0.20169279992640277,55,PG,NYK,25.0,45,0.73902431303038,0.7435756586088286,0.5398834484193276,0.674161140019512,16
Evan Mobley,0.49521092354148094,23,0.4641800287900049,30,0.36943874588539716,6,PF,CLE,19.666666666666668,24,0.5703108348080361,0.5349988693450551,0.8619804974312506,0.6557634005281139,17
Paolo Banchero,0.5387405443887909,18,0.5478821055466649,15,0.23456407871803986,42,PF,ORL,25.0,27,0.6476170825558343,0.6790533466227218,0.6030011698969167,0.6432238663584908,18
Damian Lillard,0.5495882043296628,15,0.5366692387997203,16,0.22151895665140597,50,PG,MIL,27.0,35,0.6668819387744184,0.6597555738480849,0.5779526043554865,0.6348633723259965,19
Devin Booker,0.5447611586926429,17,0.5560644409279615,13,0.19939493860228064,57,PG,PHO,29.0,44,0.6583093673014359,0.6931354589422282,0.535471214506269,0.628972013583311,20
Pascal Siakam,0.5019020996976538,21,0.4810645868962624,26,0.29533198517898307,24,PF,IND,23.666666666666668,5,0.582194001065507,0.564057839997988,0.7196845462599261,0.6219787957744737,21
Jaylen Brown,0.5010621438714403,22,0.48548374853115395,21,0.28939478150475173,27,SF,BOS,23.333333333333332,6,0.5807022850354908,0.5716633862877241,0.7082842362737751,0.6202166358656633,22
Josh Hart,0.4874497261551058,24,0.48524489858508685,22,0.2995677267798109,21,SF,NYK,22.333333333333332,3,0.5565273688303453,0.5712523163900377,0.7278177971841374,0.61853249413484,23
Derrick White,0.4810128444994384,25,0.43540168405343466,32,0.3382766326580965,10,SG,BOS,22.333333333333332,22,0.5450958158255129,0.4854702367402105,0.8021446268586017,0.6109035598081083,24
Franz Wagner,0.4799170520428395,26,0.48189947302592,24,0.2818418402262106,29,SF,ORL,26.333333333333332,5,0.5431497478037595,0.5654947109772331,0.6937814708968215,0.600808643225938,25
Aaron Gordon,0.47869461541277936,29,0.42892603325788903,35,0.3260075793008005,14,PF,DEN,26.0,21,0.5409787665928065,0.4743253939055815,0.7785862281267426,0.5979634628750434,26
Chet Holmgren,0.4678877165281188,31,0.43963781080711195,31,0.3248096371268193,16,C,OKC,26.0,15,0.5217862998012057,0.4927607729948485,0.7762860018117616,0.5969443582026053,27
Paul George,0.4788687187176397,27,0.485194241756502,23,0.24901782834960906,38,PF,LAC,29.333333333333332,15,0.541287964627553,0.5711651340494662,0.6307545088933992,0.5810692025234728,28
Khris Middleton,0.5038822839312433,20,0.526489350890529,18,0.1861086644795945,65,SF,MIL,34.333333333333336,47,0.5857107009578659,0.6422355971840995,0.5099596013175557,0.579301966486507,29
Jrue Holiday,0.4635022745150482,34,0.4123226085689533,37,0.32507043604746255,15,PG,BOS,28.666666666666668,22,0.5139979924337873,0.4457502646225028,0.7767867743475415,0.5788450104679439,30
Austin Reaves,0.4637903934001997,33,0.41496241329095296,36,0.3052344533965864,19,SG,LAL,29.333333333333332,17,0.5145096759606084,0.45029346957126787,0.7386987511790964,0.5678339655703242,31
Kyrie Irving,0.47869537655299665,28,0.47505183873275797,27,0.22613823360189078,46,SG,DAL,33.666666666666664,19,0.5409801183365862,0.5537096703078379,0.5868222999288367,0.5605040295244202,32
Myles Turner,0.44770360052500335,36,0.4055897520711663,39,0.2984964224040285,23,C,IND,32.666666666666664,16,0.4859404035601048,0.4341627609313584,0.7257607341889016,0.5486212995601216,33
Bam Adebayo,0.4769791422645712,30,0.4818894883914087,25,0.19526870743704117,61,C,MIA,38.666666666666664,36,0.5379321792433496,0.5654775270391391,0.5275482398300909,0.5436526487041932,34
Donte DiVincenzo,0.4427096616212828,37,0.4004648704894613,42,0.29435779823433217,25,SG,NYK,34.666666666666664,17,0.4770714386894345,0.4253426436060888,0.7178139631095309,0.540076015135018,35
Jamal Murray,0.4640521880629508,32,0.4748412825219517,28,0.1990171605972224,58,PG,DEN,39.333333333333336,30,0.5149746090949603,0.5533472950113032,0.5347458248110653,0.5343559096391095,36
CJ McCollum,0.4540277682995898,35,0.46684984725963735,29,0.19661282202269548,60,PG,NOP,41.333333333333336,31,0.4971717828201204,0.5395937291020869,0.5301291388145526,0.5222982169122533,37
Mike Conley,0.4369812891973738,39,0.4101385704918477,38,0.24813402981021893,39,PG,MIN,38.666666666666664,1,0.466898159685978,0.44199145151125063,0.6290574848620214,0.5126490320197499,38
Rudy Gobert,0.42160931971819937,43,0.3813857177316149,46,0.28708313951711795,28,C,MIN,39.0,18,0.4395983749004166,0.3925066915732305,0.7038455414467126,0.5119835359734531,39
Karl-Anthony Towns,0.4420741779839826,38,0.4311484744641365,33,0.22236852925896244,49,PF,MIN,40.0,16,0.47594285418654797,0.47815030027172917,0.5795839095310058,0.5112256879964276,40
Jusuf Nurkić,0.4088036459634926,48,0.38454159645957503,45,0.29406526199725336,26,C,PHO,39.666666666666664,22,0.4168561922535394,0.3979380796357953,0.7172522502278665,0.510682174039067,41
OG Anunoby,0.41814112927307234,44,0.35752423679867323,57,0.29902227822744576,22,SF,NYK,41.0,35,0.43343905661165866,0.35144016973699166,0.7267704552164955,0.503883227188382,42
Michael Porter Jr.,0.41360030404091297,46,0.3636647586616059,56,0.28046725676572914,30,SF,DEN,44.0,26,0.42537479706737963,0.362008242853606,0.6911420671621411,0.4928417023610422,43
Darius Garland,0.4338978632195376,40,0.4300764209886791,34,0.19662699522163074,59,PG,CLE,44.333333333333336,25,0.46142216224068133,0.4763052552142487,0.53015635345468,0.4892945903032033,44
Trey Murphy III,0.4012993472724003,51,0.3714995738881962,50,0.278964293339235,31,SF,NOP,44.0,20,0.40352896443729,0.37549225968767774,0.6882561548876057,0.4890924596708578,45
Ivica Zubac,0.4176767903329232,45,0.38541770217696997,44,0.24538761117696328,40,C,LAC,43.0,5,0.43261441581655424,0.3994458911029613,0.6237839545119095,0.4852814204771416,46
Al Horford,0.4067041413874859,49,0.329016270231488,61,0.3006323461473095,20,C,BOS,43.333333333333336,41,0.41312758589903587,0.3023768683087113,0.7298620239738332,0.48178882606052675,47
Kelly Oubre Jr.,0.40036319158248534,52,0.3662403835378461,55,0.25652481422795836,36,SF,PHI,47.666666666666664,19,0.4018664026624257,0.36644099183173234,0.64516903309884,0.47115880919766595,48
Brook Lopez,0.4225887603326433,42,0.37099842703521235,51,0.22646663525487598,45,C,MIL,46.0,9,0.4413378083556275,0.37462976677539533,0.5874528797184849,0.4678068182831692,49
Bobby Portis,0.40957441012938167,47,0.3944541747066398,43,0.20084564599474908,56,PF,MIL,48.666666666666664,13,0.41822502764432656,0.41499800614163634,0.5382567874595975,0.4571599404151868,50
Andrew Nembhard,0.4259986156459566,41,0.4018544929093607,41,0.1766333106934901,68,PG,IND,50.0,27,0.4473935266114743,0.4277342369699418,0.4917655193360201,0.45563109430581206,51
Nikola Jović,0.3889070862653177,56,0.3204002276334112,64,0.27609988645630423,32,PF,MIA,50.666666666666664,32,0.3815209804272914,0.287548329271664,0.6827560696313756,0.450608459776777,52
Kristaps Porziņģis,0.3825020499775309,61,0.33055090556463534,60,0.2647627673651525,34,C,BOS,51.666666666666664,27,0.3701459830701094,0.30501803444573655,0.6609871226521778,0.44538371338934124,53
Jalen Suggs,0.3963473829154049,54,0.3722284252648979,49,0.20328680131316523,54,SG,ORL,52.333333333333336,5,0.3947345440869963,0.3767466407992613,0.5429441670546538,0.4381417839803038,54
Isaiah Hartenstein,0.3871116193670568,58,0.34644863299245987,59,0.2289125311729867,43,C,NYK,53.333333333333336,16,0.37833232851261456,0.33237863173624366,0.5921493619667436,0.4342867740718672,55
T.J. McConnell,0.40189549478411557,50,0.3689195037263903,53,0.19361405575471335,63,PG,IND,55.333333333333336,13,0.40458769011276857,0.37105186020297704,0.5243710636487322,0.43333687132149257,56
Patrick Beverley,0.3824295219703411,62,0.36736370480887914,54,0.20397754702513127,53,PG,MIL,56.333333333333336,9,0.3700171772596444,0.3683742707273563,0.544270501078227,0.4275539830217426,57
Brandon Ingram,0.3877164140393497,57,0.37715392970398054,48,0.18864327244605217,64,SF,NOP,56.333333333333336,16,0.379406411076688,0.38522362243215036,0.5148264238313927,0.42648548578007694,58
Dereck Lively II,0.37604797503124066,64,0.3048136882815487,68,0.25554936835078434,37,C,DAL,56.333333333333336,31,0.35868389571283793,0.26072329856868715,0.6432960326116306,0.4209010756310519,59
Jonas Valančiūnas,0.3840420801915161,60,0.3697366861169998,52,0.16555918375448264,74,C,NOP,62.0,22,0.3728809932756667,0.37245826236981927,0.4705015562217658,0.4052802706224172,60
D'Angelo Russell,0.3892204621789949,55,0.35638088658093464,58,0.1696306485415776,71,PG,LAL,61.333333333333336,16,0.38207751906809184,0.34947242025760333,0.47831937134440267,0.40328977022336593,61
Daniel Gafford,0.3627075235212467,67,0.2985464633609562,70,0.2433194214881943,41,PF,DAL,59.333333333333336,29,0.33499197675226167,0.24993716464106408,0.6198127241388535,0.40158062184405974,62
P.J. Washington,0.36525236916379755,65,0.3253891602104054,63,0.216270039554474,52,PF,DAL,60.0,13,0.3395114847078449,0.29613447315721875,0.5678739064903034,0.4011732881184557,63
Tyler Herro,0.3994246521272727,53,0.40224452318806403,40,0.11440467348473515,95,SG,MIA,62.666666666666664,55,0.4001996074495692,0.42840549400558753,0.37227732369358585,0.4002941417162475,64
Delon Wright,0.3865020481772295,59,0.2868615838542709,74,0.22796214699038642,44,PG,MIA,59.0,30,0.3772497631122403,0.22982703984354363,0.5903244836431983,0.39913376219966074,65
Jaden McDaniels,0.35812823708689245,69,0.3072818907232628,67,0.2234497206480709,48,SF,MIN,61.333333333333336,21,0.3268594121971032,0.2649711694260645,0.5816599570554811,0.3911635128928829,66
Bradley Beal,0.3769634075737306,63,0.38113923242292413,47,0.11038457648203581,97,SG,PHO,69.0,50,0.3603096543008661,0.39208248092427256,0.36455814232137157,0.37231675918217,67
Obi Toppin,0.3599912762094681,68,0.2825619929173751,76,0.19437452131967226,62,PF,IND,68.66666666666667,14,0.3301680687204134,0.2224272793008874,0.5258312701112378,0.35947553937751286,68
Jonathan Isaac,0.3281686660463822,78,0.26800423494728703,83,0.22576069912812868,47,PF,ORL,69.33333333333333,36,0.2736528375430405,0.1973728207261907,0.5860973778497733,0.3523743453730015,69
Jaime Jaquez Jr.,0.3520736810024797,70,0.31426567812307993,65,0.15739652204789256,78,SF,MIA,71.0,13,0.31610684868853606,0.2769905348024316,0.45482803736117894,0.34930847361738215,70
Herbert Jones,0.3464277546182707,71,0.32787554118939954,62,0.1411575355452913,84,SF,NOP,72.33333333333333,22,0.30607998938382275,0.3004136299729262,0.42364677928945826,0.34338013288206903,71
Alec Burks,0.3629987897823199,66,0.3021799174017877,69,0.14586557029399416,81,SG,NYK,72.0,15,0.33550924984816305,0.2561904780933227,0.4326869029749122,0.341462210305466,72
Kyle Lowry,0.33320457851959095,73,0.3124537775485341,66,0.15743797626609468,77,PG,PHI,72.0,11,0.28259634519856747,0.27387218457434676,0.45490763559692565,0.3371253884566133,73
Mitchell Robinson,0.30262650159396476,90,0.2727875683783866,80,0.21812531257667522,51,C,NYK,73.66666666666667,39,0.2282913376094704,0.20560512061362454,0.5714363053437965,0.3351109211889638,74
Kentavious Caldwell-Pope,0.32919423438986384,76,0.28834898814955423,73,0.17561128109210355,69,SG,DEN,72.66666666666667,7,0.2754741913453535,0.23238691955692897,0.4898030712021623,0.33255472736814823,75
Larry Nance Jr.,0.33168111342702145,74,0.2814999700246936,77,0.16862631493360591,72,C,NOP,74.33333333333333,5,0.2798907537509778,0.22059949726022288,0.47639090213758045,0.32562705104959366,76
Naz Reid,0.3278474294124664,79,0.26978998893296147,81,0.1817648022720264,67,C,MIN,75.66666666666667,14,0.27308233868907,0.2004461716742288,0.5016187428224471,0.3250490843952486,77
