Player,Pos,Tm,Hellwig_score,Hellwig_rank
Jarrett Allen,C,CLE,0.4413183613311372,1
Shai Gilgeous-Alexander,PG,OKC,0.42125481049226876,2
LeBron James,PF,LAL,0.41742443050521616,3
Nikola Jokić,C,DEN,0.41487156457692764,4
Tyrese Haliburton,PG,IND,0.383319929824524,5
Evan Mobley,PF,CLE,0.36943874588539716,6
Anthony Davis,C,LAL,0.3602022111812141,7
Jalen Williams,PF,OKC,0.35194932412784097,8
Anthony Edwards,SG,MIN,0.34530280626020693,9
Derrick White,SG,BOS,0.3382766326580965,10
James Harden,PG,LAC,0.3375949689817921,11
Kevin Durant,PF,PHO,0.33005779101427535,12
Jayson Tatum,PF,BOS,0.3273413849762936,13
Aaron Gordon,PF,DEN,0.3260075793008005,14
Jrue Holiday,PG,BOS,0.32507043604746255,15
Chet Holmgren,C,OKC,0.3248096371268193,16
Luka Dončić,PG,DAL,0.31682839562349974,17
Joel Embiid,C,PHI,0.31678416672086074,18
Austin Reaves,SG,LAL,0.3052344533965864,19
Al Horford,C,BOS,0.3006323461473095,20
Josh Hart,SF,NYK,0.2995677267798109,21
OG Anunoby,SF,NYK,0.29902227822744576,22
Myles Turner,C,IND,0.2984964224040285,23
Pascal Siakam,PF,IND,0.29533198517898307,24
Donte DiVincenzo,SG,NYK,0.29435779823433217,25
Jusuf Nurkić,C,PHO,0.29406526199725336,26
Jaylen Brown,SF,BOS,0.28939478150475173,27
Rudy Gobert,C,MIN,0.28708313951711795,28
Franz Wagner,SF,ORL,0.2818418402262106,29
Michael Porter Jr.,SF,DEN,0.28046725676572914,30
Trey Murphy III,SF,NOP,0.278964293339235,31
Nikola Jović,PF,MIA,0.27609988645630423,32
Tyrese Maxey,PG,PHI,0.27077963309133235,33
Kristaps Porziņģis,C,BOS,0.2647627673651525,34
Donovan Mitchell,SG,CLE,0.2641492520331674,35
Kelly Oubre Jr.,SF,PHI,0.25652481422795836,36
Dereck Lively II,C,DAL,0.25554936835078434,37
Paul George,PF,LAC,0.24901782834960906,38
Mike Conley,PG,MIN,0.24813402981021893,39
Ivica Zubac,C,LAC,0.24538761117696328,40
Daniel Gafford,PF,DAL,0.2433194214881943,41
Paolo Banchero,PF,ORL,0.23456407871803986,42
Isaiah Hartenstein,C,NYK,0.2289125311729867,43
Delon Wright,PG,MIA,0.22796214699038642,44
