Player,Pos,Tm,SAW_score,SAW_rank
LeBron James,PF,LAL,0.7232530846695516,1
Nikola Joki?,C,DEN,0.7212459107514979,2
Luka Don?i?,PG,DAL,0.6716608009542364,3
Shai Gilgeous-Alexander,PG,OKC,0.6694632954268843,4
Joel Embiid,C,PHI,0.66448817430666,5
Anthony Davis,C,LAL,0.6437569807459722,6
Anthony Edwards,SG,MIN,0.6263017108872195,7
Tyrese Maxey,PG,PHI,0.6150489290176018,8
Jayson Tatum,PF,BOS,0.5995469283713402,9
Tyrese Haliburton,PG,IND,0.597462658905116,10
James Harden,PG,LAC,0.5959035006120542,11
Jalen Brunson,PG,NYK,0.589746359294473,12
Devin Booker,PG,PHO,0.5802216457542356,13
Kevin Durant,PF,PHO,0.5715617913744033,14
Donovan Mitchell,SG,CLE,0.5660205949020118,15
Damian Lillard,PG,MIL,0.5656695328618423,16
Jalen Williams,PF,OKC,0.5542197245149977,17
Paolo Banchero,PF,ORL,0.5439107424039068,18
Jarrett Allen,C,CLE,0.5334707816388387,19
Khris Middleton,SF,MIL,0.5251870495100187,20
Josh Hart,SF,NYK,0.5224674532732729,21
Jaylen Brown,SF,BOS,0.5146380610346629,22
Evan Mobley,PF,CLE,0.5120626714106971,23
Kyrie Irving,SG,DAL,0.5108646680534409,24
Derrick White,SG,BOS,0.5103741328527032,25
Pascal Siakam,PF,IND,0.5077562560566462,26
Paul George,PF,LAC,0.5064416046971635,27
Franz Wagner,SF,ORL,0.5045116982829703,28
Aaron Gordon,PF,DEN,0.5043362123487031,29
Jrue Holiday,PG,BOS,0.49960259496322756,30
Jamal Murray,PG,DEN,0.49106854815751333,31
Chet Holmgren,C,OKC,0.4893872721099298,32
CJ McCollum,PG,NOP,0.4884700429526178,33
Bam Adebayo,C,MIA,0.4873238519231353,34
Austin Reaves,SG,LAL,0.4855632966548882,35
Donte DiVincenzo,SG,NYK,0.4771796482405481,36
Myles Turner,C,IND,0.4681210060821857,37
Darius Garland,PG,CLE,0.4617036072616863,38
Karl-Anthony Towns,PF,MIN,0.459318857312836,39
Mike Conley,PG,MIN,0.45530196299932413,40
Kelly Oubre Jr.,SF,PHI,0.45299288304515833,41
Andrew Nembhard,PG,IND,0.4493844713579932,42
Michael Porter Jr.,SF,DEN,0.4492188336776119,43
OG Anunoby,SF,NYK,0.4464109334060509,44
Brook Lopez,C,MIL,0.43628894808941787,45
Trey Murphy III,SF,NOP,0.4352525999165674,46
Rudy Gobert,C,MIN,0.43473042040592963,47
Tyler Herro,SG,MIA,0.428507750010156,48
Brandon Ingram,SF,NOP,0.42442963194867794,49
Patrick Beverley,PG,MIL,0.4241890928504113,50
Bradley Beal,SG,PHO,0.4240546724493473,51
Ivica Zubac,C,LAC,0.4204881653143548,52
Al Horford,C,BOS,0.4202822461971353,53
Jalen Suggs,SG,ORL,0.4192789321346662,54
Delon Wright,PG,MIA,0.41586514675588016,55
Isaiah Hartenstein,C,NYK,0.4153884595994479,56
Bobby Portis,PF,MIL,0.41102716915606247,57
D'Angelo Russell,PG,LAL,0.4108545973556973,58
Jusuf Nurki?,C,PHO,0.4037571088010487,59
Jaden McDaniels,SF,MIN,0.4028867396754304,60
P.J. Washington,PF,DAL,0.40285367320150034,61
Nikola Jovi?,PF,MIA,0.4010316877090037,62
