Player,Pos,Tm,TOPSIS_score,TOPSIS_rank
Nikola Joki?,C,DEN,0.6926228033212275,1
LeBron James,PF,LAL,0.6785477594085058,2
Shai Gilgeous-Alexander,PG,OKC,0.6636821556817293,3
Joel Embiid,C,PHI,0.6635730688585911,4
Luka Don?i?,PG,DAL,0.6493882818666866,5
Anthony Davis,C,LAL,0.6021810037296739,6
Anthony Edwards,SG,MIN,0.5975507128544288,7
Jayson Tatum,PF,BOS,0.5882128521812143,8
Tyrese Maxey,PG,PHI,0.56293017100316,9
Jalen Brunson,PG,NYK,0.5599069986468644,10
James Harden,PG,LAC,0.5593364720498838,11
Tyrese Haliburton,PG,IND,0.5501547684996972,12
Devin Booker,PG,PHO,0.5475581130725776,13
Donovan Mitchell,SG,CLE,0.5352499626802738,14
Paolo Banchero,PF,ORL,0.5246171946665678,15
Damian Lillard,PG,MIL,0.5164942655399037,16
Kevin Durant,PF,PHO,0.5162664415150461,17
Jalen Williams,PF,OKC,0.5132681278752022,18
Khris Middleton,SF,MIL,0.498950036616272,19
Josh Hart,SF,NYK,0.478786133191952,20
Franz Wagner,SF,ORL,0.4773491025145746,21
Paul George,PF,LAC,0.47727760544298775,22
Jarrett Allen,C,CLE,0.47534270272425855,23
Jaylen Brown,SF,BOS,0.47438717116968476,24
Evan Mobley,PF,CLE,0.47327624802328344,25
CJ McCollum,PG,NOP,0.47037503495195726,26
Kyrie Irving,SG,DAL,0.465150158038686,27
Pascal Siakam,PF,IND,0.46444136729074903,28
Jamal Murray,PG,DEN,0.46209500198558623,29
Chet Holmgren,C,OKC,0.45493920753052053,30
Bam Adebayo,C,MIA,0.4537730930987366,31
Derrick White,SG,BOS,0.44339657793326565,32
Aaron Gordon,PF,DEN,0.426607196661647,33
Darius Garland,PG,CLE,0.426213813785428,34
Austin Reaves,SG,LAL,0.4203553737551699,35
Jrue Holiday,PG,BOS,0.41777725794715564,36
Karl-Anthony Towns,PF,MIN,0.41740289526774804,37
Mike Conley,PG,MIN,0.4154063466411513,38
Myles Turner,C,IND,0.4106021272127957,39
Donte DiVincenzo,SG,NYK,0.4100623656951156,40
Jusuf Nurki?,C,PHO,0.3997676765822094,41
Andrew Nembhard,PG,IND,0.39681975007242054,42
Kelly Oubre Jr.,SF,PHI,0.39544271378585205,43
Trey Murphy III,SF,NOP,0.3941923197749761,44
Tyler Herro,SG,MIA,0.3891197307200767,45
Brandon Ingram,SF,NOP,0.3878459997198179,46
Rudy Gobert,C,MIN,0.38090921802087113,47
Patrick Beverley,PG,MIL,0.37993894892865004,48
Bradley Beal,SG,PHO,0.3799352526709307,49
Bobby Portis,PF,MIL,0.37751818138484233,50
Ivica Zubac,C,LAC,0.37497358119775825,51
Jalen Suggs,SG,ORL,0.37413593599229733,52
Brook Lopez,C,MIL,0.3718074136398659,53
Michael Porter Jr.,SF,DEN,0.36945004511671636,54
OG Anunoby,SF,NYK,0.3670909749407443,55
T.J. McConnell,PG,IND,0.364426954783497,56
D'Angelo Russell,PG,LAL,0.3542808103774477,57
Isaiah Hartenstein,C,NYK,0.3527334088921921,58
Kristaps Porzi??is,C,BOS,0.34879772440465906,59
Jonas Valan?i?nas,C,NOP,0.34708360366951346,60
Al Horford,C,BOS,0.33866112948101945,61
Herbert Jones,SF,NOP,0.33846430063299765,62
P.J. Washington,PF,DAL,0.3329177709080685,63
Dereck Lively II,C,DAL,0.3316004706576194,64
Nikola Jovi?,PF,MIA,0.33025281861796174,65
Kyle Lowry,PG,PHI,0.3300204761188475,66
Jaden McDaniels,SF,MIN,0.32861504594071966,67
Luguentz Dort,SF,OKC,0.31812994111768983,68
Jaime Jaquez Jr.,SF,MIA,0.3162591621772337,69
Kentavious Caldwell-Pope,SG,DEN,0.3145684101710709,70
Delon Wright,PG,MIA,0.30944090022346116,71
Daniel Gafford,PF,DAL,0.30766565500937815,72
Max Strus,SF,CLE,0.3044023452088836,73
Alec Burks,SG,NYK,0.3011804720953337,74
Tobias Harris,PF,PHI,0.2919221658957073,75
Aaron Nesmith,SF,IND,0.29016017081663525,76
Jonathan Isaac,PF,ORL,0.2896449629878292,77
Mitchell Robinson,C,NYK,0.2892956146389861,78
Obi Toppin,PF,IND,0.283977089999958,79
Caleb Martin,SF,MIA,0.2834249541388412,80
Caris LeVert,SG,CLE,0.28125559489235863,81
Naz Reid,C,MIN,0.27958658425793925,82
Derrick Jones Jr.,SF,DAL,0.279316536883325,83
Wendell Carter Jr.,C,ORL,0.2775919079563293,84
Eric Gordon,SG,PHO,0.2762267730624684,85
Larry Nance Jr.,C,NOP,0.276145031352014,86
Nicolas Batum,PF,PHI,0.2657141040370853,87
Miles McBride,PG,NYK,0.2649895616807888,88
Pat Connaughton,SF,MIL,0.2632737617921588,89
Precious Achiuwa,PF,NYK,0.25845078946779604,90
Terance Mann,SG,LAC,0.25651851891692107,91
Norman Powell,SG,LAC,0.2561301479303495,92
Naji Marshall,SF,NOP,0.25499557078334734,93
Russell Westbrook,PG,LAC,0.2547642868763329,94
Malik Beasley,SG,MIL,0.2504779693927776,95
Josh Giddey,SG,OKC,0.2498258628474705,96
Nickeil Alexander-Walker,SG,MIN,0.24554772749203396,97
Gary Harris,SG,ORL,0.24531156757446712,98
Kyle Anderson,PF,MIN,0.239145789964286,99
Jose Alvarado,PG,NOP,0.23485974037516238,100
Josh Green,SG,DAL,0.2326870788118951,101
Moritz Wagner,C,ORL,0.23045391687468045,102
Aaron Wiggins,SG,OKC,0.22690293738059977,103
Payton Pritchard,PG,BOS,0.22277771008639433,104
Isaiah Joe,SG,OKC,0.22245739448018473,105
Cason Wallace,SG,OKC,0.22168077184485066,106
Taurean Prince,PF,LAL,0.22069325861532335,107
Rui Hachimura,PF,LAL,0.21834782597853292,108
Ben Sheppard,SG,IND,0.21781885683642183,109
Isaac Okoro,SF,CLE,0.2163115560452046,110
Marcus Morris,PF,CLE,0.21467458478454762,111
Royce O'Neale,SF,PHO,0.21068548439190807,112
Christian Braun,SG,DEN,0.20552319704377994,113
Maxi Kleber,C,DAL,0.20484708684438235,114
Markelle Fultz,PG,ORL,0.20007980763257366,115
Haywood Highsmith,PF,MIA,0.19352868125156658,116
Amir Coffey,SF,LAC,0.16359656878186093,117
