Player,Pos,Tm,SAW_score,SAW_rank,TOPSIS_score,TOPSIS_rank,Hellwig_score,Hellwig_rank,AGR_score,AGR_rank
Nikola Jokić,C,DEN,0.7371604035372435,1,0.734366426780205,1,0.41487156457692764,4,0.9830727450338673,1
LeBron James,PF,LAL,0.7270730207276962,2,0.6913863796826247,2,0.41742443050521616,3,0.9540783881738818,2
Shai Gilgeous-Alexander,PG,OKC,0.6606900062662141,5,0.6733457389424135,5,0.42125481049226876,2,0.9068829305510173,3
Luka Dončić,PG,DAL,0.6766202803461308,3,0.6803930712848923,4,0.31682839562349974,17,0.8535182160620179,4
Joel Embiid,C,PHI,0.6607845236821448,4,0.6896970130410492,3,0.31678416672086074,18,0.8494529054218445,5
Anthony Davis,C,LAL,0.6518558788967995,6,0.6360461961767215,6,0.3602022111812141,7,0.8411786302926736,6
Anthony Edwards,SG,MIN,0.617020191354431,7,0.6174600964569641,7,0.34530280626020693,9,0.8003577151807727,7
Tyrese Haliburton,PG,IND,0.60054110856293,8,0.5584776754476973,12,0.383319929824524,5,0.7810982296619593,8
Jayson Tatum,PF,BOS,0.5895461273769895,11,0.6151903380176416,8,0.3273413849762936,13,0.7712952559231998,9
Jarrett Allen,C,CLE,0.5522808160616696,14,0.48625985244969266,20,0.4413183613311372,1,0.7482209873765051,10
James Harden,PG,LAC,0.5757620194224231,12,0.5677702943726778,11,0.3375949689817921,11,0.742494209464574,11
Tyrese Maxey,PG,PHI,0.5917535062064508,9,0.5867496776609591,9,0.27077963309133235,33,0.7200838503939112,12
Jalen Williams,PF,OKC,0.5346453865718012,19,0.5163392467520155,19,0.35194932412784097,8,0.6978364674258196,13
Kevin Durant,PF,PHO,0.5468434562347956,16,0.5267287720495969,17,0.33005779101427535,12,0.6970060997530845,14
Donovan Mitchell,SG,CLE,0.5549614311936844,13,0.5545675465979322,14,0.2641492520331674,35,0.6755976091386595,15
Jalen Brunson,PG,NYK,0.5902101500310204,10,0.5853724467872808,10,0.20169279992640277,55,0.674161140019512,16
Evan Mobley,PF,CLE,0.49521092354148094,23,0.4641800287900049,30,0.36943874588539716,6,0.6557634005281139,17
Paolo Banchero,PF,ORL,0.5387405443887909,18,0.5478821055466649,15,0.23456407871803986,42,0.6432238663584908,18
Damian Lillard,PG,MIL,0.5495882043296628,15,0.5366692387997203,16,0.22151895665140597,50,0.6348633723259965,19
