Player,Tm,Pos,G,MP,PTS,TRB,AST,STL,BLK,ranking_score,cluster
Nikola Joki?,DEN,C,12,40.2,28.7,13.4,8.7,1.4,0.7,1.3616840262270293,2
Anthony Davis,LAL,C,5,41.6,27.8,15.6,4.0,0.4,1.6,1.10875782811427,2
Joel Embiid,PHI,C,6,41.3,33.0,10.8,5.7,1.2,1.5,1.0768675137091592,1
Jarrett Allen,CLE,C,4,31.8,17.0,13.8,1.3,1.3,1.0,0.7079407656864004,3
Chet Holmgren,OKC,C,10,34.5,15.6,7.2,2.1,0.7,2.5,0.44844507798578886,3
Bam Adebayo,MIA,C,5,38.4,22.6,9.4,3.8,0.4,0.0,0.44590548445110606,2
Myles Turner,IND,C,17,32.4,17.0,6.6,2.1,0.5,1.5,0.3980406020467983,4
Brook Lopez,MIL,C,6,33.3,17.7,4.3,1.8,0.0,1.3,0.29358097890694457,4
Rudy Gobert,MIN,C,15,34.1,12.1,9.8,1.6,0.9,1.0,0.24340406283183805,3
Al Horford,BOS,C,19,30.3,9.2,7.0,2.1,0.8,0.8,0.23766137925797293,4
LeBron James,LAL,PF,5,40.8,27.8,6.8,8.8,2.4,1.0,1.3572020030270502,1
Jayson Tatum,BOS,PF,19,40.4,25.0,9.7,6.3,1.1,0.7,0.8526954770197992,1
Kevin Durant,PHO,PF,4,42.0,26.8,6.5,3.3,0.5,1.5,0.7762906255354657,1
Jalen Williams,OKC,PF,10,37.7,18.7,6.8,5.4,1.7,0.5,0.7028914094728687,0
Pascal Siakam,IND,PF,17,35.5,21.6,7.5,3.8,0.8,0.4,0.5952246488660103,2
Evan Mobley,CLE,PF,12,35.2,16.0,9.3,2.3,0.8,2.2,0.5574416514359782,3
Paolo Banchero,ORL,PF,7,37.4,27.0,8.6,4.0,1.1,0.6,0.543455720732617,1
Aaron Gordon,DEN,PF,12,37.1,14.3,7.3,4.4,0.8,0.6,0.5327617421526222,4
Paul George,LAC,PF,6,37.0,19.5,6.8,4.8,1.2,0.5,0.4922894660677411,0
Karl-Anthony Towns,MIN,PF,16,32.6,19.1,9.0,2.6,0.8,0.2,0.35389367705224123,0
Shai Gilgeous-Alexander,OKC,PG,10,39.9,30.2,7.2,6.4,1.3,1.7,1.2212760600625556,1
Luka Don?i?,DAL,PG,22,40.9,28.9,9.5,8.1,1.9,0.4,1.0959896130753464,1
Tyrese Maxey,PHI,PG,6,44.5,29.8,5.2,6.8,0.8,0.3,0.961923494812571,1
Tyrese Haliburton,IND,PG,15,34.8,18.7,4.8,8.2,1.3,0.7,0.8978719329977475,4
James Harden,LAC,PG,6,40.3,21.2,4.5,8.0,1.0,1.0,0.8542931070670506,0
Jalen Brunson,NYK,PG,13,39.8,32.4,3.3,7.5,0.8,0.2,0.8329370252428174,1
Devin Booker,PHO,PG,4,41.5,27.5,3.3,6.0,1.8,0.3,0.7977797317039275,1
Damian Lillard,MIL,PG,4,39.0,31.3,3.3,5.0,1.0,0.0,0.7742963407685376,1
Jrue Holiday,BOS,PG,19,37.9,13.2,6.1,4.4,1.1,0.6,0.4893458952066577,4
Jamal Murray,DEN,PG,12,38.5,20.6,4.3,5.6,0.8,0.5,0.37388574833683397,0
Khris Middleton,MIL,SF,6,38.3,24.7,9.2,4.7,0.5,0.2,0.5917337977617845,2
Jaylen Brown,BOS,SF,19,37.2,23.9,5.9,3.3,1.2,0.6,0.5378662319021909,1
Franz Wagner,ORL,SF,7,37.0,18.9,6.9,4.4,0.7,1.3,0.5120095989253691,0
Josh Hart,NYK,SF,13,42.2,14.5,11.5,4.5,1.0,0.8,0.49922027557605414,0
Kelly Oubre Jr.,PHI,SF,6,37.3,13.2,4.0,1.7,1.8,1.2,0.32581548140717076,4
OG Anunoby,NYK,SF,9,36.0,15.1,6.0,1.1,0.9,1.0,0.3144365413397384,4
Michael Porter Jr.,DEN,SF,12,36.9,15.8,6.8,1.1,0.9,0.8,0.3019966728998108,4
Trey Murphy III,NOP,SF,4,42.0,11.5,6.5,2.3,1.3,1.5,0.1696541136067489,0
Jaden McDaniels,MIN,SF,16,33.6,12.2,3.8,1.1,0.9,1.1,0.1462598427566848,4
Brandon Ingram,NOP,SF,4,36.3,14.3,4.5,3.3,1.0,1.3,0.07450569450089715,0
Anthony Edwards,MIN,SG,16,40.6,27.6,7.0,6.5,1.5,0.6,0.9591313894176284,1
Donovan Mitchell,CLE,SG,10,38.2,29.6,5.4,4.7,1.3,0.3,0.754468101320663,1
Derrick White,BOS,SG,19,35.6,16.7,4.3,4.1,0.9,1.2,0.6019501050278413,4
Kyrie Irving,DAL,SG,22,40.0,22.1,3.7,5.1,1.0,0.3,0.5069661861617597,0
Austin Reaves,LAL,SG,5,34.8,16.8,3.8,3.6,1.4,0.6,0.4776577513735759,4
Donte DiVincenzo,NYK,SG,13,35.8,17.8,4.0,2.6,1.2,0.9,0.43451126812112545,0
Tyler Herro,MIA,SG,5,37.0,16.8,3.6,5.4,0.4,0.0,0.09780190623054442,0
Jalen Suggs,ORL,SG,7,33.1,14.7,5.1,3.3,1.3,0.4,0.07972375491003478,0
Bradley Beal,PHO,SG,4,38.5,16.5,2.8,4.5,0.8,0.3,0.07804441146925856,0
Alec Burks,NYK,SG,6,20.2,14.8,3.3,1.0,0.2,0.2,0.07434395462230216,4
